1,A-01-I,21.1032398425987%-101.728310576575 21.1033561135104%-101.728240367872 21.1037279499221%-101.727907483659 21.1053184832684%-101.726050548056 21.1053952239931%-101.726052878933 21.1053968763779%-101.726158431449 21.105009405938%-101.726594063022 21.1043596693128%-101.72738985053 21.1043330206391%-101.727524082086 21.1044629597775%-101.727675131779 21.1074956687573%-101.72763546598 21.1094331789554%-101.727706105224 21.1108503736655%-101.72772724674 21.1133111760012%-101.727598383585 21.1134607756027%-101.72766397841 21.1172629026534%-101.729749182504 21.1174029322337%-101.729775075129 21.1203930161534%-101.729577227511 21.1204805521182%-101.729504573328 21.116784900873%-101.725608298769 21.1163811020191%-101.725206013742 21.114436631436%-101.723073403568 21.1144250982708%-101.722333429347 21.1145291476817%-101.721629112439 21.1146810144184%-101.721135035595 21.1151369445305%-101.720608599584 21.1151080752291%-101.720479786483 21.116898941138%-101.718950439199 21.1194117944932%-101.717416212683 21.1193950408824%-101.71681224888 21.1199611873663%-101.716472749386 21.1200747648587%-101.716466476682 21.1210013710913%-101.715887550885 21.1210591965582%-101.715791940447 21.1229676820417%-101.714630436837 21.1237804733931%-101.7142778878 21.1239750863801%-101.714190485407 21.1253654709294%-101.7138946735 21.1256554165694%-101.713824034255 21.1259881772491%-101.713775697498 21.1263042011829%-101.71379034071 21.1277271314407%-101.714012377082 21.1278166928971%-101.714163824716 21.1283991395462%-101.717000989416 21.1285592035349%-101.717777452733 21.1286399052609%-101.717843936227 21.131616357308%-101.716996134865 21.1329895823489%-101.716622345709 21.1334259475397%-101.716458449604 21.1334819779655%-101.716371676459 21.1335082792701%-101.716229645981 21.1334547798556%-101.716023011109 21.1333185490695%-101.715838908574 21.1324573199599%-101.715633907496 21.1320809868784%-101.715748866325,A
2,A-01-R,21.1320653360745%-101.715765913674 21.1316239595694%-101.715898451253 21.1316881539497%-101.716202965767 21.1318532718573%-101.7168335618 21.1318119770697%-101.717094063515 21.1286521458396%-101.717963213321 21.1284764415076%-101.717744476921 21.1281088455509%-101.715830671437 21.1277128480815%-101.714065944792 21.1263677704256%-101.713844419053 21.1259589277439%-101.713805985075 21.1256028727322%-101.713870165569 21.1250111271925%-101.714046030607 21.1242339239563%-101.714178660674 21.1239774720103%-101.714220418472 21.1232005823535%-101.714582948972 21.1207618679545%-101.716075460889 21.119628519092%-101.71677457912 21.1195321088548%-101.716924361401 21.1196459745159%-101.717479949589 21.1171020499246%-101.719018101798 21.1168520197245%-101.719193453523 21.1150040882055%-101.720795468456 21.1146833262762%-101.72111680675 21.114615682902%-101.721421940448 21.1145282755513%-101.721820822908 21.1144710719395%-101.722405724313 21.1145626942633%-101.7226299597 21.116614860081%-101.724797445917 21.1177903572586%-101.726019841735 21.1177725984884%-101.726106073891 21.1174742506413%-101.726192886458 21.1174655779259%-101.726240302773 21.1201432272174%-101.729057883096 21.1204967712241%-101.729496039285 21.1204340536385%-101.729618244066 21.1181026998305%-101.729768943323 21.1173411018248%-101.729812288065 21.1162749229161%-101.729268075392 21.1134458801246%-101.727675640136 21.1133046512566%-101.727638958707 21.1121905560276%-101.727690351082 21.1107826543035%-101.727785358207 21.1086815404156%-101.727729043283 21.1051454184461%-101.727719753757 21.1041105548283%-101.72768266641 21.104039199731%-101.727710459281 21.1037647783479%-101.72801676462 21.1034819570042%-101.728284312818 21.1033005562769%-101.72839961529 21.1028561442685%-101.728568766584 21.1026160818522%-101.728657761703 21.102457315576%-101.728968671553 21.102293749871%-101.729082756609 21.1021066477112%-101.729085002237 21.1019319152941%-101.728956686275 21.1018639207038%-101.728771290867 21.1019059660842%-101.728566291373 21.1020160123743%-101.728443096972 21.102169137932%-101.728357222929 21.1023901032434%-101.728405227738 21.1025219572155%-101.728516047576 21.1026634178654%-101.728522864294 21.1029153785419%-101.72846969333 21.103248271575%-101.728309879293,A
3,A-02-I,21.1901438881341%-101.652601121615 21.1916325049848%-101.654660296034 21.1913310848504%-101.654859660098 21.1916832007781%-101.655665941582 21.1914714572917%-101.656612128462 21.1914549289728%-101.656879931646 21.1916284520796%-101.657323559661 21.1917223873658%-101.6577565178 21.1916733468038%-101.660235795917 21.1917396515304%-101.661447227132 21.1913303147673%-101.661572867101 21.1910968483101%-101.661998595557 21.1899094017854%-101.66278264333 21.1908640110502%-101.66453328559 21.1909585980792%-101.664765611151 21.1909477748221%-101.66486106987 21.191395431273%-101.665103337009 21.1913740028159%-101.665193412974 21.1912753403686%-101.665266341401 21.1899877606729%-101.664653326318 21.1892131730901%-101.664403914614 21.1881678200104%-101.664256161875 21.1871116904405%-101.664279882584 21.1858754250436%-101.66428867477 21.1858750476365%-101.666689025293 21.184378484471%-101.66689476364 21.1803903581049%-101.667106682848 21.1779121119845%-101.667108545717 21.16878986474%-101.667135619528 21.1647880349101%-101.669556990536 21.1645506790679%-101.669144375138 21.1640209672515%-101.667471502302 21.1556488080599%-101.671815197549 21.1554251272051%-101.671362104685 21.1536607550739%-101.672310274626 21.1497272501387%-101.67368748159,A
4,A-02-I RAMAL,21.187828170435%-101.656598241121 21.1900670521194%-101.661538549467 21.1902880344593%-101.661524395496 21.1906979215901%-101.662273840443 21.1899094017854%-101.66278264333 21.1908640110502%-101.66453328559 21.1909585980792%-101.664765611151 21.1909477748221%-101.66486106987 21.191395431273%-101.665103337009 21.1913740028159%-101.665193412974 21.1912753403686%-101.665266341401 21.1899877606729%-101.664653326318 21.1892131730901%-101.664403914614 21.1881678200104%-101.664256161875 21.1871116904405%-101.664279882584 21.1858754250436%-101.66428867477 21.1858750476365%-101.666689025293 21.184378484471%-101.66689476364 21.1803903581049%-101.667106682848 21.1779121119845%-101.667108545717 21.16878986474%-101.667135619528 21.1647880349101%-101.669556990536 21.156591808387%-101.674363190878 21.1556488080599%-101.671815197549 21.1554251272051%-101.671362104685 21.1536607550739%-101.672310274626 21.1497272501387%-101.67368748159,A
5,A-02-R,21.1485434149862%-101.674270405608 21.1474504619136%-101.674674691985 21.1468784525495%-101.673253073008 21.1466655653968%-101.672633417867 21.1466136161784%-101.672168118635 21.1505487225769%-101.670231370227 21.1506487565157%-101.670095818186 21.1506813705576%-101.669947677246 21.1506843239664%-101.669938227098 21.1507198080545%-101.669799692342 21.1507227516942%-101.669793397956 21.1507904605054%-101.669680164141 21.1507963416181%-101.669673877264 21.1508022224022%-101.669667590849 21.1509020841631%-101.669601606578 21.1510018805616%-101.669535655049 21.151139712389%-101.669501072458 21.1511924986239%-101.669501074812 21.1514623363537%-101.670240123746 21.1515751784385%-101.670595139271 21.1521410217713%-101.672763362403 21.1536421464055%-101.672271592256 21.1638828770851%-101.667021371423 21.164530909832%-101.669049418154 21.1647476142409%-101.669405821189 21.1688310747304%-101.666975018046 21.1819044562449%-101.667026331229 21.1858089253758%-101.666567097386 21.1858017320186%-101.664082621014 21.188529503013%-101.664050776616 21.1897844853692%-101.664322545063 21.1907226019709%-101.6647142968 21.1908304118512%-101.664594904832 21.1898258151369%-101.662834317224 21.1911230755975%-101.661999669484 21.191366492635%-101.661573194507 21.1917374939707%-101.661441207367 21.1916853183458%-101.659833790345 21.1917305700053%-101.657905636193 21.1915337853824%-101.657039250206 21.191435009661%-101.656640367394 21.1916883821252%-101.655600929088 21.19132359504%-101.654819928355 21.1916238032739%-101.654632089293 21.1901425290279%-101.652616146344,A
6,A-02-R RAMAL,21.1485434149862%-101.674270405608 21.1474504619136%-101.674674691985 21.1468784525495%-101.673253073008 21.1466655653968%-101.672633417867 21.1466136161784%-101.672168118635 21.1506181560879%-101.670171295136 21.1506612598852%-101.67004166583 21.1507004783895%-101.669899582679 21.1507396056147%-101.669786819685 21.1508801606471%-101.669599092668 21.1512111101881%-101.669515710524 21.1515187447119%-101.670325753276 21.1521305134968%-101.672766811997 21.1536421464055%-101.672271592256 21.1553865825965%-101.671382254949 21.1565814773751%-101.674339475577 21.1647476142409%-101.669405821189 21.1688310747304%-101.666975018046 21.1819044562449%-101.667026331229 21.1858089253758%-101.666567097386 21.1858017320186%-101.664082621014 21.188529503013%-101.664050776616 21.1897844853692%-101.664322545063 21.1907226019709%-101.6647142968 21.1908304118512%-101.664594904832 21.1898258151369%-101.662834317224 21.1902959024857%-101.662535572359 21.189839587402%-101.661755984923 21.1899282343507%-101.661606738188 21.189928194659%-101.66149139408 21.1877153711992%-101.656674797894,A
7,A-03-I,21.1033905930154%-101.728229743191 21.1037469842993%-101.72790366806 21.1058423068392%-101.725519168667 21.1079167522103%-101.723399342609 21.1083103341515%-101.723353699342 21.1087990107448%-101.723377509852 21.1091184220322%-101.723512694131 21.109932447086%-101.723882942505 21.1104420376821%-101.723937471999 21.1105016637936%-101.724117794279 21.1099954160072%-101.725609430939 21.1096096806916%-101.726083225284 21.1094016756476%-101.726136747077 21.1083449856902%-101.726190197801 21.1081615178373%-101.72642247929 21.1081698366613%-101.727709259957 21.1093011722165%-101.727750881091 21.1093801548722%-101.73015887541 21.1130092723884%-101.73010357107 21.1141429156359%-101.730610606872 21.1159387426083%-101.731489418157 21.1164841387658%-101.731683021476 21.1200912688036%-101.731403226428 21.1205232884839%-101.731243622652 21.1226973497169%-101.728513522733 21.1229430097854%-101.727948934801 21.1229977141501%-101.727157810181 21.1228563433321%-101.726640931545 21.1224933114336%-101.725997429346 21.1217895610748%-101.72494695943 21.1215183466247%-101.724076041702 21.1213598868379%-101.723247751051 21.1214944726451%-101.721460973421 21.1274664624386%-101.718192636493 21.1333051495%-101.716573586024 21.1335370052448%-101.716364794449 21.1335458839692%-101.716242046981 21.1333630425575%-101.71583701594 21.1324878931784%-101.715646609535 21.1320914191193%-101.715760837058,A
8,A-03-R,21.1320813086876%-101.715768367518 21.1316086873907%-101.715905045378 21.1318638278705%-101.716858763278 21.131813247838%-101.71707707951 21.1276713335066%-101.718215964022 21.1247321191413%-101.71977287565 21.1219819273918%-101.721338815862 21.1216648649174%-101.721677198816 21.1215409477325%-101.722565077615 21.1215565016066%-101.723418015331 21.1219306249702%-101.724871908252 21.1228941360021%-101.72621681329 21.1231632810556%-101.727046709906 21.1231637104787%-101.727721991508 21.1230126185253%-101.728445429949 21.1207888398005%-101.731223484847 21.1202962592836%-101.731575648627 21.1168172350069%-101.731843649773 21.1157537047147%-101.731632081684 21.1136505466557%-101.730464476754 21.1128670785398%-101.730250677931 21.1078238976575%-101.730322065483 21.1065531344385%-101.73052815737 21.1065208494903%-101.727734969468 21.1080974591764%-101.727665215165 21.1081457242958%-101.726200300944 21.1071479211545%-101.726131063387 21.1066304997518%-101.725819502336 21.1060798801978%-101.725326972634 21.1037029939208%-101.728064027527 21.1033663824433%-101.728307991021 21.1025970274924%-101.728678143046 21.1024311010593%-101.729036860513 21.102085471989%-101.729132223045 21.101924497497%-101.728964350242 21.1018519746953%-101.728732332406 21.1018698720444%-101.728541763864 21.1020874671522%-101.728393156886 21.10232815329%-101.728424467775 21.1026354373278%-101.728519684288 21.1033660081649%-101.728180731593,A
9,A-07-I STA ANA,21.0911987581604%-101.676892135764 21.0908306036683%-101.677204273262 21.091069280773%-101.677724989257 21.0915392093648%-101.679118608856 21.0914007615603%-101.679359471982 21.0904640782203%-101.679324467381 21.0900846429314%-101.679315281963 21.0885224117233%-101.679467408497 21.0870946160032%-101.679659715488 21.0814353904836%-101.680178366618 21.0797091539083%-101.680509494291 21.0740200198117%-101.682306432961 21.0714431582919%-101.683208457969 21.0703694202476%-101.683418122354 21.0689427380049%-101.683859998566 21.0654502554281%-101.684914415544 21.0653712946508%-101.684647315046 21.0676588316512%-101.683984283382 21.0673882983672%-101.682990067336 21.0663701502711%-101.677239841244 21.0649950267533%-101.677476363939 21.0601757599534%-101.678410927617 21.060103052088%-101.677687421026 21.0585844668524%-101.677880901603 21.0581325834746%-101.673990589669,A
10,A-07-I RAMAL PROVIDENCIA,21.0905084160763%-101.676000936274 21.0910884442138%-101.677078635983 21.0908278608597%-101.677216707611 21.0910754278241%-101.677718823341 21.0912530017067%-101.678232540887 21.0914845866383%-101.679158279993 21.0914341153409%-101.679352098864 21.090472721687%-101.679327086114 21.0899059795307%-101.679307901878 21.088499638671%-101.679501953708 21.0870521664886%-101.679690242944 21.0814353904836%-101.680178366618 21.0797091539083%-101.680509494291 21.0740200198117%-101.682306432961 21.0714431582919%-101.683208457969 21.0703694202476%-101.683418122354 21.0688165210302%-101.683914108014 21.0679486329713%-101.684184062304 21.0655002317331%-101.684874506179 21.0654538034504%-101.684692831897 21.0676654241849%-101.683963275977 21.0673541204655%-101.68272596225 21.0661353801756%-101.675952150127 21.0648365542283%-101.668791208356 21.062975958735%-101.665024961595 21.0617779652995%-101.662317415794 21.0609459595991%-101.660573811044 21.0604083526789%-101.659404770955 21.0603363142392%-101.659341066873 21.059741338599%-101.659257818973 21.0590174074962%-101.659204525442 21.0586420046363%-101.658996314081 21.0558909076546%-101.658790913712 21.0550511619809%-101.657191645988 21.0546137494786%-101.656237284453 21.0545282531275%-101.655834555117 21.0544706085119%-101.653876641427 21.0545683559913%-101.653420571799,A
