Id,Nombre,Tipo,Lat,Lon
89,"UNIVERSIDAD IBEROAMERICANA",ES,21.1282271640634,-101.626705576676
90,"PLAZA MARAVILLAS",PL,21.1400832087746,-101.633149817951
91,"PLAZA SATELITE",PL,21.1009657747357,-101.710913211052
92,"UNIVERSIDAD LA SALLE BAJIO",ES,21.151005775999,-101.71113488885
93,"OJO DE AGUA",0,21.1832514313805,-101.631215416734
94,"JARDIN DE LOS NIÑOS HEROES",PL,21.118555547964,-101.671551960156
95,"MERCADO DEL ESPIRITU SANTO",ME,21.1330572221303,-101.695149057858
96,"MERCADO LA LUZ",ME,21.1235688396016,-101.67245691172
97,"MERCADO REPUBLICA",ME,21.1242064881747,-101.674510388769
98,"PLAZA HIDALGO",PL,21.1514843100648,-101.669312970872
99,"TECNOLOGICO DE MONTERREY",ES,21.166991655381,-101.713838620391
100,"POLITECNICO CAMPUS LEON",ES,21.0537180071172,-101.57573468589
101,"AUTODROMO DE LEON",CT,21.033788028693,-101.57414275203
102,"INSTITUTO TECNOLOGICO DE LEON",ES,21.1076691493755,-101.628027252538
103,"UNIVERSIDAD DE LEON LOS PARAISOS",ES,21.1415396601212,-101.690447983207
104,"UNIVERSIDAD DE LEON CENTRO",ES,21.1204320320346,-101.683984986083
105,"UNIVERSIDAD DE LEON TORRES LANDA",ES,21.0976031513956,-101.657059127854
106,INFONAVIT,0,21.1460197873926,-101.648304930842
107,SAT,0,21.0984254204329,-101.631182194879
