Id,Nombre,Lat,Lon
381,"107 Pronosticos La Suerte 2",21.11563696,-101.7094237
382,"108 Oxxo Nicaragua",21.12072442,-101.694976
383,"109 Oxxo Arbide Bjx",21.12315858,-101.6939521
384,"110 Bara Salamanca",21.13162668,-101.6955066
385,"111 Oxxo Miguel Aleman",21.11991373,-101.687185
386,"112 Tu Prestamo Mac Rapido S.A. De C.V.",21.12461679,-101.6859269
387,"113 Oxxo Alvaro Obregon Bjx",21.12435515,-101.6840503
388,"114 Presta facil Centro",21.12400727,-101.6826957
389,"115 Oxxo Patrocinio De María",21.12435202,-101.6821197
390,"116 Oxxo Catedral",21.1226339,-101.6819426
391,"117 Caja Popular Mex centro",21.12299176,-101.6814332
392,"118 Oxxo Portal es Bjx",21.12230061,-101.6818088
393,"119 Oxxo Pino Suarez",21.12062391,-101.6826029
394,"120 Oxxo Madero",21.12155175,-101.6804962
395,"121 Oxxo 5 De Mayo",21.12513478,-101.680569
396,"122 Oxxo Manuel Doblado",21.1243465,-101.6795294
397,"123 Oxxo Expiatorio",21.12069361,-101.6775942
398,"124 Oxxo Calzada Bjx",21.11906039,-101.6719697
399,"125 Presta facil Coecillo Malecon",21.12448136,-101.6738864
400,"126 Bara Palo Cuarto",21.12837187,-101.6717283
401,"127 Abarrotes El Retoño",21.12768356,-101.6674858
402,"128 Oxxo San Juan",21.12708556,-101.6675688
403,"129 Bara Sanchez",21.1259278,-101.66365
404,"130 Papeleria Marisol",21.12930422,-101.6629045
405,"131 Oxxo Obelisco",21.13042864,-101.6577923
406,"132 Oxxo Vicente Valtierra",21.13013833,-101.6554902
407,"133 Presta facil Vicente Valtierra",21.12994478,-101.6527677
408,"134 Caja Popular Mex Obelisco",21.13293646,-101.6589482
409,"135 Caja Popular Mex San Felipe...(Samaria)",21.12934653,-101.652224
410,"136 Presta facil Suc. (Hilario Medina)",21.14037185,-101.65543
411,"137 Bara Villas De San Nicolas",21.11769133,-101.5867839
412,"138 Papeleria Garvel",21.11794903,-101.5876862
413,"139 Abarrotes Los Pollitos",21.11367367,-101.6000641
414,"140 Oxxo Portones del carmen bjx",21.11022176,-101.6015163
415,"141 Oxxo Loyola",21.11660692,-101.633986
416,"142 Oxxo Olimpica Bjx",21.10989569,-101.6353968
417,"143 Ciber Smart",21.11017186,-101.6300772
418,"144Presta facil La Luz",21.11801637,-101.6403073
419,"145 Cp Alianza La Luz (Merced)",21.11842591,-101.6421383
420,"146 Caja Popular Mex. San Pedro",21.11848563,-101.6435779
421,"147 Oxxo Lopez Mateos",21.11020417,-101.6466478
422,"148 Oxxo Francisco Villa Bjx",21.11725607,-101.6520791
423,"149 Hospital La Luz",21.12253242,-101.6529418
424,"150 Oxxo Sinai",21.12546182,-101.6476962
425,"151 Oxxo Nazareth",21.12587023,-101.6480681
426,"152 Oxxo Mariano Escobedo",21.10482924,-101.6488508
427,"153 Oxxo Bocanegra",21.10414649,-101.6596682
428,"154 Cp Alianza Arboledas (Arbol)",21.10193953,-101.6643806
429,"155 Oxxo Rosini",21.10516279,-101.6653929
430,"156 Oxxo Mozart Bjx",21.10644762,-101.6698628
431,"157 Oxxo Leon Moderno Bjx",21.10960405,-101.6688513
432,"158 Oxxo Wagner Bjx",21.10952612,-101.666821
433,"159 Bara Hermanos Aldama",21.10840938,-101.6776354
434,"160 Caja Popular San Nicolas San Nicolas",21.10902311,-101.6767648
435,"161 Bara Mariano Escobedo",21.11455892,-101.6817543
436,"162 Caja Pop Alianza Merced (Loma Bonita)",21.11660993,-101.6912871
437,"163 Oxxo Juarez",21.10968806,-101.6888426
438,"164 Pronosticos La Suerte",21.11038913,-101.691136
439,"165 Bara Turqueza",21.11088907,-101.6919586
440,"166 Bara Clara Sanchez",21.11069171,-101.6995644
441,"167 Oxxo Kennedy Bjx",21.11326549,-101.7100319
442,"168 Bara Hilamas",21.11142694,-101.7264696
443,"169 Presta facil Lomas",21.11193336,-101.7271762
444,"170 Caja Popular San Nicolás",21.11135794,-101.7265564
445,"171 Bara León II",21.10392263,-101.7304603
446,"172 Abarrotes Lupita",21.09758429,-101.7477394
447,"173 Farmacia Almaguer",21.0930595,-101.7550183
448,"174 Bara Cumbres de la Gloria",21.09024385,-101.7628018
449,"175 Bara Colinas de San Francisco",21.10335747,-101.7170372
450,"176 Oxxo Miguel de Cervantes",21.1025964,-101.7109939
451,"177 Pronosticos Deportivos Soriana Satelite",21.1004036,-101.7107505
452,"178 Bara Obrero Mundial",21.1064755,-101.7084027
453,"179 Oxxo Zodiaco",21.10714216,-101.7027541
454,"180 Presta fácil La Merced",21.10752728,-101.6981105
455,"181 Oxxo Santa Rosa",21.09496654,-101.6955626
456,"182 Caja Popular Santa Margarita",21.09373694,-101.6816338
457,"183 Bara Paseos del Maurel",21.09431194,-101.6790736
458,"184 Oxxo Timoteo Lozano",21.09115854,-101.6790098
459,"185 Oxxo Plaza San Miguel",21.10064111,-101.6751866
460,"186 Presta fácil Villa",21.09077056,-101.6649661
461,"187 Bara Santo Domingo",21.09237821,-101.6682339
462,"188 Bara Alfredo Valadez",21.09446843,-101.658358
