Colonia,Lon,Lat,Id
"PORTONES DEL MORAL (37170)",-101.68013685733,21.1522271603552,86
"SUB ESTACION NORTE (37170)",-101.683387090842,21.1532803240278,87
"CASA BLANCA (37170)",-101.682372654674,21.1490352128049,88
"JULIAN CARRILLO (37170)",-101.683130709415,21.1520173485219,89
"LA PUERTA DE HIERRO (37178)",-101.679909100425,21.1581476357049,90
"PRIV REAL DE CAMELINAS (37178)",-101.677466817839,21.1562222447608,91
"REAL DE BUGAMBILIAS (37178)",-101.675311249914,21.1575534338439,92
"REAL DEL BOSQUE (37178)",-101.67835698119,21.1577172615424,93
"REAL DEL BOSQUE II (37178)",-101.674790868903,21.1588792449812,94
"SUR VALLE DEL MORAL (37178)",-101.67810812439,21.154087367538,95
"VALLE DEL MORAL (37178)",-101.676212090915,21.1553301658545,96
"HACIENDAS EL CARMEN (37178)",-101.672260959975,21.162943525923,97
"LA HACIENDA (37178)",-101.673941386386,21.1602251397784,98
"PEÑITAS (37180)",-101.682872840509,21.1438281957147,99
"PREDIO EL JUCAL (37180)",-101.686324541944,21.1531603868424,100
"FUTURAMA MONTERREY (37180)",-101.687059389679,21.1506350833425,101
"LAS MARGARITAS NORTE (37180)",-101.683745804325,21.1507011664257,102
"EL TRIANON (37188)",-101.679292697,21.1465135047945,103
"LOS REYES (37190)",-101.677768271489,21.1356869210147,104
"HEROES DE CHAPULTEPEC (37190)",-101.677242726571,21.1405883098027,105
"LA FLORIDA (37190)",-101.676000573967,21.1454414364732,106
"RINCON DE LA FLORIDA (37199)",-101.677443975959,21.1429268394022,107
"INDUSTRIAL DEL NORTE (37200)",-101.662132858944,21.1631265109797,108
"JARDINES DEL BOSQUE (37200)",-101.657221785357,21.1682793412187,109
"SAN JOSE DEL CONSUELO (37200)",-101.660493936246,21.161886685822,110
"SAN PABLO PONIENTE (37200)",-101.656628930681,21.1693969260274,111
"ARBOLEDAS DE IBARRILLA (37200)",-101.658380490767,21.1643662776816,112
"FRACCIONES DE SAN JOSE DEL CONSUELO (37200)",-101.656574960566,21.1661407848694,113
"HIDALGO DEL VALLE (37204)",-101.666372545457,21.1537654048496,114
"LAS TORRES DE SANTA ROSA (37204)",-101.658726148793,21.1494001217183,115
"MISION DE LA FLORIDA (37204)",-101.654614844999,21.1538375727458,116
"RES ALAMEDA (37204)",-101.657176474814,21.1505379304812,117
"SAN JERONIMO I (37204)",-101.670386422096,21.1503237821169,118
"SUR DE SAN JOSE DEL CONSUELO (37204)",-101.664650536193,21.1555450948303,119
"SUR VALLE DE SEÑORA (37204)",-101.660766695227,21.1532601945024,120
"VALLE DE LAS TORRES (37204)",-101.657042335535,21.1532303783793,121
"VILLA DE LAS TORRES (37204)",-101.660519787258,21.151244377626,122
"ABEDUL (37204)",-101.655602566805,21.1517753004898,123
"ALAMEDA DIAMANTE (VALLE DE SAN FDO) (37204)",-101.660861464885,21.1546599272139,124
"VALLE DE SEÑORA II (37205)",-101.650342010375,21.1580083999677,125
"VALLE DEL SENADO (37205)",-101.655289544277,21.1618643448637,126
"ARBOLEDAS DE SEÑORA (37205)",-101.653340185501,21.1564142239374,127
"VALLE DE SEÑORA (37205)",-101.655845794748,21.158800673912,128
"BRISAS DEL LAGO (37207)",-101.650600032166,21.17299747965,129
"EL PENITENTE (37207)",-101.637225545822,21.1810271484842,130
