Calle,Lon,Lat,Id
"ANDADOR DOCTRINA",-101.651109638399,21.1930438572882,96
"ANDADOR DOS",-101.598138802764,21.1171965476826,97
"ANDADOR EBARISTO GUTIÉRREZ",-101.730909711214,21.1083576778646,98
"ANDADOR EL ÁNIMA",-101.586125005065,21.0529333280107,99
"ANDADOR EL ROSARIO",-101.682133672431,21.1563848215023,100
"ANDADOR EL TRABAJO",-101.629792028579,21.1119976352827,101
"ANDADOR ENREDADERA",-101.634330257635,21.1115206402654,102
"ANDADOR ENRIQUE JASSO LÓPEZ",-101.728322444425,21.1069034021703,103
"ANDADOR ESPERANZA SOLÍS",-101.729518977119,21.1129384538466,104
"ANDADOR ESTAMBUL",-101.648487858328,21.1295673213749,105
"ANDADOR EXCAVADORES",-101.629166363937,21.1116389721609,106
"ANDADOR FERNANDO AMILPA",-101.667979748167,21.1680646325768,107
"ANDADOR FRANCISCO BENÍTEZ MURILLO",-101.639475248484,21.1387861052946,108
"ANDADOR FRANCISCO MIRANDA",-101.729523121195,21.1114900318395,109
"ANDADOR FRANCISCO PÉREZ RÍOS",-101.668506635773,21.1671678771958,110
"ANDADOR FRANCISCO SALAZAR VARONA",-101.638431924294,21.1410373053274,111
"ANDADOR FRISÓN",-101.6006843536,21.1194491209802,112
"ANDADOR FUENTES",-101.609164650228,21.1162935591005,113
"ANDADOR GABRIEL SÁMANO",-101.729517881745,21.1118312822879,114
"ANDADOR GALÉS",-101.601684445581,21.1201132793045,115
"ANDADOR GAVIOTA",-101.701575438556,21.0990910787903,116
"ANDADOR GAZA",-101.654477889943,21.1289808536835,117
"ANDADOR GORRIÓN",-101.698024877346,21.1016935971818,118
"ANDADOR GRULLA",-101.701199760261,21.1013554538911,119
"ANDADOR GUAMINI",-101.671272559181,21.096442810987,120
"ANDADOR HACIENDA SAN JUAN",-101.682367369359,21.1548820165918,121
"ANDADOR HALCÓN",-101.701396368248,21.0990287233969,122
"ANDADOR HERODES",-101.653136944115,21.1924878775136,123
"ANDADOR HORÓSCOPO",-101.707898518802,21.1066488355754,124
"ANDADOR IBARRA",-101.63901782811,21.1145658715178,125
"ANDADOR IGNACIO L. PEDROZA",-101.730910106916,21.1086939029013,126
"ANDADOR IGNACIO TEJADA DE LEÓN",-101.728339739287,21.1054520510713,127
"ANDADOR J. ELÍAS PIÑA",-101.669915564951,21.1648587644205,128
"ANDADOR JEREZ",-101.639598245163,21.1040560406538,129
"ANDADOR JESRAEL",-101.654661134903,21.1280504195913,130
"ANDADOR JOSÉ R. MAR DE LA ROSA",-101.668676071643,21.166891998467,131
"ANDADOR JOSÉ RAFAEL FUENTES",-101.72952830129,21.1111502382929,132
"ANDADOR JOSEFINA CAMARENA",-101.729261207139,21.1138262070139,133
"ANDADOR JUNIN",-101.67229378523,21.0959022491895,134
"ANDADOR JUNO",-101.66942117075,21.1345635841421,135
"ANDADOR JUSTICIA SOCIAL",-101.71916512557,21.1216328637657,136
"ANDADOR KIOSCO",-101.642112484304,21.0774066346086,137
"ANDADOR LA PAMPA",-101.671794856647,21.09597954502,138
"ANDADOR LA RIOJA",-101.670062297437,21.0978448558554,139
"ANDADOR LA VENTA",-101.688060827045,21.0958234164176,140
"ANDADOR LABORES",-101.644811986484,21.1349723053277,141
"ANDADOR LAS MALVINAS",-101.669916371643,21.0984861543126,142
"ANDADOR LAS VEGAS",-101.696141411897,21.1059697071364,143
"ANDADOR LEÓN",-101.62993602173,21.1145695884158,144
"ANDADOR LEOPOLDO RUIZ Y FLORES",-101.731074307833,21.1126531825984,145
"ANDADOR LOMA DE SAN IGNACIO",-101.645492991808,21.0958204900236,146
"ANDADOR LOMA DE SAN PATRICIO",-101.645174870124,21.0959311821784,147
"ANDADOR LOMA DE SAN VICENTE",-101.645456834565,21.0960766538146,148
"ANDADOR LÓPEZ MERCADO 1",-101.729755121102,21.1137538097905,149
"ANDADOR LÓPEZ MERCADO 3",-101.728767162774,21.1138905984724,150
"ANDADOR LÓPEZ MERCADO 4",-101.72837130729,21.1139483250552,151
"ANDADOR LOS BALDIOS",-101.582267541214,21.054741101121,152
"ANDADOR LOS CIMIENTOS",-101.586418250602,21.0527628111549,153
"ANDADOR LOS EDIFICIOS",-101.585513002023,21.0533360489196,154
"ANDADOR LOS MOLINOS",-101.587019597576,21.0514794345283,155
"ANDADOR LUIS QUINTERO",-101.667625430569,21.1686632950751,156
"ANDADOR MADRE PATRICIA",-101.625614576052,21.0687463638537,157
"ANDADOR MADRE ROSA",-101.627778531954,21.0624353246306,158
"ANDADOR MANUEL LÓPEZ MERCADO",-101.730903984331,21.1135017945722,159
"ANDADOR MANUEL MOTA I. VELASCO",-101.639504137406,21.1438225102007,160
"ANDADOR MARISOL",-101.703242631442,21.1058184132892,161
"ANDADOR MARTÍNEZ",-101.64535780302,21.1364244649172,162
"ANDADOR MATÍAS VELÁZQUEZ",-101.728329239703,21.106175381189,163
"ANDADOR MELÓN",-101.709954322234,21.104192718719,164
"ANDADOR MIGUEL LARA",-101.72953805084,21.1104276456194,165
"ANDADOR MITLA",-101.670795228717,21.1996395481267,166
